R00005,C00011
R00005,C01010
R00006,C00022
R00008,C00022
R00008,C06033
R00010,C01083
R00013,C00048
R00014,C00022
R00014,C00068
R00018,C00134
R00019,C00080
R00021,C00064
R00022,C01674
R00024,C00001
R00024,C00011
R00024,C01182
R00025,C02116
R00026,C00185
R00028,C00208
R00031,C00082
R00032,C02094
R00033,C00378
R00036,C00430
R00042,C01179
R00044,C01795
R00045,C00355
R00047,C01020
R00048,C01089
R00048,C04546
R00066,C04332
R00066,C04332
R00068,C00072
R00069,C03680
R00070,C05791
R00071,C05807
R00072,C05856
R00073,C05956
R00074,C01987
R00078,C14818
R00084,C00931
R00086,C00002
R00087,C00002
R00089,C00002
R00093,C00026
R00093,C00064
R00095,C00072
R00095,C01041
R00097,C00992
R00099,C00541
R00100,C00996
R00102,C00003
R00103,C00003
R00104,C00003
R00107,C00992
R00111,C05933
R00112,C00003
R00112,C00006
R00114,C00026
R00114,C00064
R00115,C00005
R00115,C00005
R00115,C00127
R00115,C00127
R00118,C00006
R00119,C00006
R00120,C00051
R00122,C00008
R00124,C00002
R00124,C00008
R00125,C01260
R00126,C00008
R00127,C00008
R00127,C00020
R00128,C03483
R00130,C00882
R00131,C00086
R00131,C00086
R00132,C00011
R00134,C00011
R00135,C00012
R00137,C00003
R00137,C00455
R00139,C11038
R00140,C03997
R00143,C00192
R00145,C00014
R00145,C05167
R00146,C00014
R00146,C05167
R00148,C00014
R00149,C00011
R00149,C00014
R00150,C00011
R00150,C00014
R00150,C00169
R00150,C00169
R00152,C00177
R00152,C00177
R00155,C00015
R00156,C00015
R00156,C00075
R00157,C00015
R00158,C00015
R00158,C00105
R00159,C00075
R00160,C00016
R00161,C00061
R00165,C00886
R00166,C02047
R00168,C02554
R00169,C02987
R00170,C03127
R00171,C06482
R00172,C05336
R00173,C00018
R00174,C00250
R00177,C00073
R00178,C00019
R00179,C00019
R00181,C00020
R00181,C00020
R00182,C00020
R00183,C00020
R00184,C01260
R00185,C00020
R00185,C00212
R00187,C06197
R00189,C00014
R00189,C00857
R00190,C00020
R00190,C00147
R00191,C00575
R00192,C00021
R00192,C00155
R00194,C00021
R00194,C03539
R00196,C00186
R00197,C00256
R00198,C00256
R00199,C00022
R00200,C00002
R00200,C00008
R00200,C00074
R00203,C00546
R00205,C00546
R00206,C00022
R00207,C00022
R00211,C00022
R00211,C00024
R00212,C00022
R00212,C00022
R00212,C00024
R00212,C00058
R00214,C00022
R00214,C00149
R00214,C00149
R00215,C00022
R00215,C00497
R00216,C00022
R00216,C00149
R00216,C00149
R00217,C00036
R00218,C03248
R00219,C03981
R00220,C00022
R00220,C00065
R00221,C00022
R00221,C00740
R00226,C00022
R00227,C00024
R00228,C00024
R00228,C00084
R00229,C00024
R00229,C00033
R00230,C00024
R00230,C00227
R00233,C00083
R00235,C00024
R00235,C00033
R00236,C00024
R00236,C05993
R00237,C00022
R00237,C00024
R00237,C01011
R00238,C00024
R00238,C00332
R00239,C00025
R00243,C00014
R00243,C00025
R00243,C00025
R00243,C00026
R00245,C00025
R00245,C01165
R00248,C00014
R00248,C00025
R00248,C00025
R00248,C00026
R00251,C01879
R00253,C00014
R00253,C00025
R00253,C00064
R00254,C05829
R00256,C00014
R00256,C00025
R00256,C00064
R00256,C00064
R00257,C00064
R00257,C00857
R00258,C00022
R00258,C00025
R00258,C00026
R00258,C00041
R00259,C00025
R00260,C00025
R00260,C00217
R00261,C00025
R00262,C00025
R00262,C03618
R00263,C00025
R00264,C00026
R00264,C00433
R00267,C00006
R00267,C00011
R00267,C00026
R00268,C00026
R00268,C05379
R00269,C00940
R00270,C05572
R00271,C00024
R00271,C00026
R00273,C00209
R00274,C00051
